"","Var","Importance","coef"
"97","households_w_latrine_4",0.451070803516769,"0.0408141906193587"
"98","n_married_couple_0",0.422344181474342,"-0.0382158841302452"
"99","source_lighting_4",0.421155003696846,"-0.0381083236822603"
"100","source_drinking_water_9",0.416399306863005,"-0.0376781736310159"
"101","schooldays",0.41217623989598,"0.0372961996457636"
"102","fuel_cooking_3",0.407491896656698,"0.0368725034862262"
"103","n_rooms_0",0.39570524441472,"0.0358064075505459"
"104","roof_material_7",0.383416598853912,"-0.034694906607069"
"105","marg_al_0_3_f",0.371414205734241,"-0.033609297032728"
"106","rel_age06_fe_sikh_rur",0.370459905296438,"-0.0335229811054169"
"107","wall_material_8",0.350443997801593,"0.031712553751566"
"108","source_lighting_2",0.337196923697923,"0.0305143634960428"
"109","p60b5",0.313022355883446,"0.0283277877012592"
