"","District","Block","Village","mean","upper","lower"
"V1216_1","UDAIPUR","KHERWARA","GOHA WADA",18.3886218575725,13.8363449531353,28.1722259681825
"V1217_1","UDAIPUR","KHERWARA","LILADI",10.8911704937559,-2.81157295013296,16.2617252548443
"V1218_1","UDAIPUR","KHERWARA","BAVALWADA",23.7314818357063,7.27498213858915,29.1984550428234
"V1219_1","UDAIPUR","KHERWARA","GARAJHA",27.7040640545816,22.1731497223767,36.2259649672657
"V1220_1","UDAIPUR","KHERWARA","MAHUDIYA",52.9017461892152,47.5719394031253,67.3597248391235
"V1221_1","UDAIPUR","KHERWARA","PADLIYA",31.8224007834073,23.6027825029877,40.6894529064917
"V1222_1","UDAIPUR","KHERWARA","BAROTHI BRHAMAN",21.2833846143947,10.6943540594735,34.4540177104368
"V1223_1","UDAIPUR","KHERWARA","SUBEDRA",27.5297029337393,23.9728397665735,42.1699248061301
"V1224_1","UDAIPUR","KHERWARA","KAKRDRA",33.6086841207462,19.9248779224274,39.1915990312398
"V1225_1","UDAIPUR","KHERWARA","DEVNAL KALAN",16.2368001388253,8.94101198216303,23.6580580555471
"V1226_1","UDAIPUR","KHERWARA","DEVNAL KHURD",11.1702316111101,10.9172427081701,32.004232769828
"V1227_1","UDAIPUR","KHERWARA","NICHLA THURIYA",9.7218596718902,1.97383391572461,28.8382073508067
"V1228_1","UDAIPUR","KHERWARA","BALICHA1",101.142645039389,50.1822820261618,122.65886412497
"V1229_1","UDAIPUR","KHERWARA","GANGA NAGAR",35.9187957039751,31.3149255475979,48.2028034687996
"V1230_1","UDAIPUR","KHERWARA","KHEDA GHATI",23.8992466416522,15.3186476265181,32.9780288996033
"V1231_1","UDAIPUR","KHERWARA","GADUNIYA",25.7226608537072,21.3838342598851,35.5645048011379
"V1232_1","UDAIPUR","KHERWARA","SULAI",14.1152503245699,6.6320410609653,29.6560928059367
"V1233_1","UDAIPUR","KHERWARA","MOKARVADA",6.59187881293609,-0.389319681892916,14.2429986374588
"V1234_1","UDAIPUR","KHERWARA","UPLA THURIYA",9.27261025252727,6.42940763458397,21.0756319127857
"V1235_1","UDAIPUR","KHERWARA","KHUNADARI",9.36063961795903,-0.502841416886786,15.7443773757285
"V1236_1","UDAIPUR","KHERWARA","SAMRUN",11.0123714736642,1.69394864012129,16.7282899486614
"V1237_1","UDAIPUR","KHERWARA","KELAWADA - A",11.6212937584233,6.42257071759952,25.9928243006776
"V1238_1","UDAIPUR","KHERWARA","SAROLI",33.0140830357939,24.1184066539932,47.7542679586793
"V1239_1","UDAIPUR","KHERWARA","BHUVAL",16.5278017863152,10.5497522457096,24.7124649064047
"V1240_1","UDAIPUR","KHERWARA","HINKA",29.0714844264421,21.1146803100383,37.4643034312924
"V1241_1","UDAIPUR","KHERWARA","BHANADRA",7.23223743573074,-11.1127351870739,18.5000075303481
"V1242_1","UDAIPUR","KHERWARA","KELAWADA",8.71383640073472,-6.10925520594364,11.9588220319973
